annee,delegation_ar,nom_perimetre_ar,source_irriguation_ar,superficie_amenagee_ha,nombre_beneficiaires,annee_debut_exploitation,gere_par_ar,nom_groupement_ar,technique_dirrigation_ar,region_id,matched_region_ar,matched_region_fr
2023,بوفيشة,لندرية,آبار عميقة,70,21,0,المجمع,لندرية,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,بوغبغوبة (الزرلين),آبار عميقة,40,43,2006,المجمع,بوغبغوبة,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,السقية,آبار عميقة,38,20,0,المجمع,السقية,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,وادي الخروب,سدود كبرى (سد وادي الرمل),663,66,2004,المجمع,وادي الخروب,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,سيدي سعيد,سدود كبرى (سد وادي الرمل),1180,358,2004,المجمع,سيدي سعيد,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,سيدي مطير,سدود كبرى (سد وادي الرمل),984,242,2004,المجمع,سيدي مطير,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,سيدي خليفة,سدود كبرى (سد وادي الرمل),885,270,2004,المجمع,سيدي خليفة,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,بوفيشة,سدود كبرى (سد وادي الرمل),1240,242,2004,المجمع,بوفيشة,قطرة قطرة,319,بوفيشة,bouficha
2023,كندار,بوقطف,آبار عميقة,35,26,1998,المجمع,بوقطف,قطرة قطرة,326,كندار,kndar
2023,كندار,عكارة 3,آبار عميقة,44,25,1991,المجمع,عكارة 3,قطرة قطرة,326,كندار,kndar
2023,كندار,بلالمة 4/3,آبار عميقة,24,12,1991,المجمع,العهد الجديد,قطرة قطرة,326,كندار,kndar
2023,كندار,عكارة 6,آبار عميقة,60,23,1991,المجمع,عكارة 6/5,قطرة قطرة,326,كندار,kndar
2023,كندار,كندار نبهانة,سد نبهانة,140,المركب الفلاحي بالنفيضة,2001,المركب الفلاحي بالنفيضة,المركب الفلاحي بالنفيضة,بالرش-قطرة قطرة,326,كندار,kndar
2023,زاوية سوسة,زاوية سوسة,مياه مستعملة معالجة,257,288,1986,المجمع,الزاوية,ري محسن,444,زاوية سوسة,zaouia sousa
2023,زاوية سوسة,الثريات,مياه مستعملة معالجة,200,98,2023,المجمع,الإزدهار,ري محسن,444,زاوية سوسة,zaouia sousa
2023,مساكن,مساكن,مياه مستعملة معالجة,185,200,2003,المجمع,المنارة,ري محسن,29,مساكن,msakn
2023,مساكن,كنايس 1,آبار عميقة,13,15,1974,المجمع,كنايس 1,قطرة قطرة,29,مساكن,msakn
2023,مساكن,كنايس 2,آبار عميقة,13,7,1974,المجمع,كنايس 2,قطرة قطرة,29,مساكن,msakn
2023,سيدي الهاني,زردوب 2,آبار عميقة,54,25,2009,المجمع,زردوب 2,قطرة قطرة,155,سيدي الهاني,sidi alhani
2023,سيدي الهاني,الشراشير 1,آبار عميقة,37,13,2012,المجمع,الشراشير 1,قطرة قطرة,155,سيدي الهاني,sidi alhani
2023,سيدي الهاني,الشراشير 2,آبار عميقة,37,12,2022,المجمع,الشراشير 2,قطرة قطرة,155,سيدي الهاني,sidi alhani
