annee,gouvernorat,superficie_ha,nombre,region_id,matched_region_ar,matched_region_fr
2004,تطاوين,0,0,5,تطاوين,tataouine
2004,مدنين,0,0,26,مدنين,mdnin
2004,قبلي,0,0,46,قبلي,qbli
2005,تونس,4.44,11,1,تونس,tunis
2005,أريانة,26.347,52,21,أريانة,ariana
2005,بن عروس,32.347,59,19,بن عروس,ben arous
2005,منوبة,29.57,9,774,منوبة,mnouba
2005,نابل,102.018,54,11,نابل,nabeul
2005,زغوان,161.413,40,318,زغوان,zghouan
2005,بنزرات,1.255,2,15,بنزرت,bizerte
2005,باجة,35.315,12,28,باجة,baja
2005,جندوبة,70.356,63,37,جندوبة,jndouba
2005,الكاف,0,0,36,الكاف,alkaf
2005,سليانة,671.046,98,770,سليانة,sliana
2005,القصرين,1.79,12,18,القصرين,kasserine
2005,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2005,القيروان,16,4,13,القيروان,kairouan
2005,قفصة,0,0,16,قفصة,gafsa
2005,سوسة,0,0,12,سوسة,sousse
2005,صفاقس,0,0,10,صفاقس,sfax
2005,المهدية,15,1,35,المهدية,almhdia
2005,المنستير,0,0,20,المنستير,monastir
2005,قابس,0,0,14,قابس,gabès
2005,توزر,0,0,45,توزر,touzr
2005,تطاوين,0,0,5,تطاوين,tataouine
2005,مدنين,0,0,26,مدنين,mdnin
2005,قبلي,0,0,46,قبلي,qbli
2006,تونس,1.085,8,1,تونس,tunis
2006,أريانة,5.075,13,21,أريانة,ariana
2006,بن عروس,1,1,19,بن عروس,ben arous
2006,منوبة,0,0,774,منوبة,mnouba
2006,نابل,3.695,11,11,نابل,nabeul
2006,زغوان,4.7,5,318,زغوان,zghouan
2006,بنزرات,20.31,7,15,بنزرت,bizerte
2006,باجة,5.5,3,28,باجة,baja
2006,جندوبة,3.5,2,37,جندوبة,jndouba
2006,الكاف,0.23,2,36,الكاف,alkaf
2006,سليانة,15.3904,27,770,سليانة,sliana
2006,القصرين,1.4525,4,18,القصرين,kasserine
2006,سيدي بوزيد,0,0,167,سيدي بوزيد,sidi bouzid
2006,القيروان,6,1,13,القيروان,kairouan
2006,قفصة,0,0,16,قفصة,gafsa
2006,سوسة,0,0,12,سوسة,sousse
2006,صفاقس,0,0,10,صفاقس,sfax
2006,المهدية,20,1,35,المهدية,almhdia
2006,المنستير,0,0,20,المنستير,monastir
2006,قابس,0,0,14,قابس,gabès
2006,توزر,0,0,45,توزر,touzr
2006,تطاوين,0,0,5,تطاوين,tataouine
2006,مدنين,3,3,26,مدنين,mdnin
2006,قبلي,0,0,46,قبلي,qbli
2007,تونس,0,0,1,تونس,tunis
2007,أريانة,54.7085,12,21,أريانة,ariana
2007,بن عروس,4.77,7,19,بن عروس,ben arous
2007,منوبة,17.2,5,774,منوبة,mnouba
2007,نابل,8.089,25,11,نابل,nabeul
2007,زغوان,86.46,9,318,زغوان,zghouan
