alwlayt,almʿtmdyt,ʿdd_mrakz_tjmyʿ_alhlyb,x4,region_id,matched_region_ar,matched_region_fr
باجة,تبرسق,2,NA,28,باجة,baja
باجة,تيبار,2,NA,28,باجة,baja
باجة,عمدون,3,NA,28,باجة,baja
جندوبة,جندوبة,8,27,37,جندوبة,jndouba
جندوبة,بوسالم,9,NA,37,جندوبة,jndouba
جندوبة,غار الدماء,1,NA,37,جندوبة,jndouba
جندوبة,طبرقة,1,NA,37,جندوبة,jndouba
جندوبة,فرنانة,1,NA,37,جندوبة,jndouba
جندوبة,جندوبة الشمالية,1,NA,37,جندوبة,jndouba
جندوبة,واد مليز,1,NA,37,جندوبة,jndouba
جندوبة,بلطة بو عوان,5,NA,37,جندوبة,jndouba
الكاف,نبر,1,NA,36,الكاف,alkaf
الكاف,الدهماني,1,NA,36,الكاف,alkaf
الكاف,القصور,1,NA,36,الكاف,alkaf
الكاف,السرس,1,NA,36,الكاف,alkaf
سليانة,سليانة الشمالية,1,7,770,سليانة,sliana
سليانة,سليانة الجنوبية,1,NA,770,سليانة,sliana
سليانة,قعفور,1,NA,770,سليانة,sliana
سليانة,الكريب,1,NA,770,سليانة,sliana
سليانة,بورويس,1,NA,770,سليانة,sliana
سليانة,مكثر,1,NA,770,سليانة,sliana
سليانة,العروسة,1,NA,770,سليانة,sliana
القيروان,القيروان الشمالية,2,8,13,القيروان,kairouan
القيروان,السبيخة,2,NA,13,القيروان,kairouan
القيروان,الوسلاتية,1,NA,13,القيروان,kairouan
القيروان,الشبيكة,1,NA,13,القيروان,kairouan
القيروان,حفوز,1,NA,13,القيروان,kairouan
القيروان,حاجب العيون,1,NA,13,القيروان,kairouan
القصرين,القصرين الجنوبية,1,6,18,القصرين,kasserine
القصرين,القصرين الشمالية,1,NA,18,القصرين,kasserine
القصرين,سبيطلة,2,NA,18,القصرين,kasserine
القصرين,فريانة,1,NA,18,القصرين,kasserine
القصرين,ماجل بلعباس,1,NA,18,القصرين,kasserine
سيدي بوزيد,سيدي بوزيد الغربية,6,21,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,سيدي بوزيد الشرقية,6,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,الهيشرية,1,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,الرقاب,3,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,بير الحفي,2,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,بن عون,1,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,السعيدة,1,NA,167,سيدي بوزيد,sidi bouzid
سيدي بوزيد,سوق الجديد,1,NA,167,سيدي بوزيد,sidi bouzid
سوسة,اكودة,1,4,12,سوسة,sousse
سوسة,القلعة الكبرى,2,NA,12,سوسة,sousse
سوسة,بوفيشة,1,NA,12,سوسة,sousse
المنستير,جمال,1,10,20,المنستير,monastir
المنستير,زرمدين,1,NA,20,المنستير,monastir
المنستير,مكنين,4,NA,20,المنستير,monastir
المنستير,طبلبة,2,NA,20,المنستير,monastir
المنستير,البقالطة,1,NA,20,المنستير,monastir
المنستير,بنبلة,1,NA,20,المنستير,monastir
المهدية,المهدية,2,25,35,المهدية,almhdia
المهدية,قصور الساف,2,NA,35,المهدية,almhdia
المهدية,الشابة,1,NA,35,المهدية,almhdia
المهدية,سيدي علوان,4,NA,35,المهدية,almhdia
المهدية,بومرداس,4,NA,35,المهدية,almhdia
المهدية,الجم,5,NA,35,المهدية,almhdia
المهدية,شربان,1,NA,35,المهدية,almhdia
المهدية,السواسي,2,NA,35,المهدية,almhdia
المهدية,أولاد شامخ,1,NA,35,المهدية,almhdia
المهدية,رجيش,1,NA,35,المهدية,almhdia
المهدية,ملولش,2,NA,35,المهدية,almhdia
صفاقس,صفاقس الجنوبية,1,15,10,صفاقس,sfax
صفاقس,جبنيانة,3,NA,10,صفاقس,sfax
صفاقس,الحنشة,1,NA,10,صفاقس,sfax
صفاقس,منزل شاكر,2,NA,10,صفاقس,sfax
صفاقس,بئر علي بن خليفة,2,NA,10,صفاقس,sfax
صفاقس,صفاقس الغربية,1,NA,10,صفاقس,sfax
