annee,delegation_fr,delegation_ar,nombre_centre_de_collecte_lait,quantite_de_refroidissement_litre,quantite_collectee_litre,region_id,matched_region_ar,matched_region_fr
2018,Sid Bou Ali,سيدي بو علي,1,8000,268824,424,سيدي بو علي,sidi bou ali
2018,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2018,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2018,Bouficha,بوفيشة,1,2000,2009276,319,بوفيشة,bouficha
2018,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2018,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2018,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2018,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2018,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2019,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2019,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2019,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2019,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2019,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2019,Akouda,أكودة,1,7000,2153260,265,أكودة,akouda
2019,Kalaa Kébira,القلعة الكبرى,3,20500,8581594,34,القلعة الكبرى,alqlaa alkbra
2019,Sid Bou Ali,سيدي بو علي,1,3000,252689,424,سيدي بو علي,sidi bou ali
2019,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2019,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2019,Bouficha,بوفيشة,1,2000,3089672,319,بوفيشة,bouficha
2019,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2019,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2019,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2019,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2019,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2020,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2020,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2020,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2020,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2020,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2020,Akouda,أكودة,1,7000,2752222,265,أكودة,akouda
2020,Kalaa Kébira,القلعة الكبرى,3,20500,9675658,34,القلعة الكبرى,alqlaa alkbra
2020,Sid Bou Ali,سيدي بو علي,1,3000,0,424,سيدي بو علي,sidi bou ali
2020,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2020,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2020,Bouficha,بوفيشة,1,2000,4610292,319,بوفيشة,bouficha
2020,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2020,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2020,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2020,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2020,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2021,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2021,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2021,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2021,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2021,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2021,Akouda,أكودة,1,7000,267782,265,أكودة,akouda
2021,Kalaa Kébira,القلعة الكبرى,3,29500,1079514,34,القلعة الكبرى,alqlaa alkbra
2021,Sid Bou Ali,سيدي بو علي,NA,3000,0,424,سيدي بو علي,sidi bou ali
2021,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2021,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2021,Bouficha,بوفيشة,1,2000,545043,319,بوفيشة,bouficha
2021,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2021,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2021,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2021,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2021,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2022,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2022,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2022,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2022,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2022,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2022,Akouda,أكودة,1,7000,222042,265,أكودة,akouda
2022,Kalaa Kébira,القلعة الكبرى,3,29500,984976,34,القلعة الكبرى,alqlaa alkbra
2022,Sid Bou Ali,سيدي بو علي,NA,3000,0,424,سيدي بو علي,sidi bou ali
2022,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2022,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2022,Bouficha,بوفيشة,1,2000,150076,319,بوفيشة,bouficha
2022,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2022,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2022,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2022,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2022,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2023,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2023,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2023,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2023,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2023,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2023,Akouda,أكودة,1,7000,1656623,265,أكودة,akouda
2023,Kalaa Kébira,القلعة الكبرى,3,29500,8634117,34,القلعة الكبرى,alqlaa alkbra
2023,Sid Bou Ali,سيدي بو علي,NA,3000,0,424,سيدي بو علي,sidi bou ali
2023,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2023,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2023,Bouficha,بوفيشة,1,2000,1116559,319,بوفيشة,bouficha
2023,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2023,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2023,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2023,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2023,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
