fid,osm_id,code,fclass,name,french_name
483,1796083922,1004,hamlet,Hammam Mellegue,Hammam Mellegue
484,1796355393,1004,hamlet,بن عمَّار,bn amَّar
485,1800480748,1003,village,منزل فارسي,mnzl farsi
486,1828428390,1003,village,جرادو,jradou
487,1831965889,1002,town,باب العسل,bab alasl
488,1837034352,1002,town,بوسالم,bousalm
489,1837920578,1003,village,بوزريعة,bouzriaa
490,1837920631,1004,hamlet,قصر أشهب,qsr achhb
491,1838990708,1004,hamlet,دوار علي بن شعبان,douar ali bn chaban
492,1838990720,1004,hamlet,دوار الحاج محمد بن حسان,douar alhaj mhmd bn hsan
493,1838990726,1004,hamlet,دوار منارة,douar mnara
494,1838990743,1004,hamlet,دوار الغيران,douar alghiran
495,1838990746,1004,hamlet,عين التلّة,ain altlّa
496,1839362661,1002,town,العالية,alaalia
497,1842078452,1010,suburb,ابن سينا,abn sina
498,1842131219,1010,suburb,المروج 2,almrouj 2
499,1844560411,1003,village,الحنشة,alhncha
500,1851671410,1002,town,دار شعبان الفهري,dar chaban alfhri
501,1857113818,1003,village,العباسية,alabasia
502,1857113819,1003,village,الكلابين,alklabin
503,1860181667,1004,hamlet,,nan
504,1860182116,1004,hamlet,بئر الشاوش,bir alchaouch
505,1863372804,1003,village,جبل الوسط,jbl aloust
506,1863511989,1003,village,عين القارصي,ain alqarsi
507,1863511990,1003,village,الحميرة,alhmira
508,1863741971,1003,village,سمنجة,smnja
509,1865629269,1003,village,المعمورة,almamoura
510,1870317876,1003,village,طويبية,touibia
511,1879939185,1004,hamlet,عين طبرنق,ain tbrnq
512,1896442620,1003,village,تلابت,tlabt
513,1896502664,1002,town,فريانة,friana
514,1899219943,1002,town,الجريصة,aljrisa
515,1899226322,1002,town,تاجروين,tajrouin
516,1919409931,1010,suburb,مركز معلى,mrkz mala
517,1926362521,1002,town,الماي,almai
518,1926362523,1003,village,مليتة,mlita
519,1938492968,1010,suburb,الشقارنية,alchqarnia
520,1938566000,1003,village,تكرونة,tkrouna
521,1938588080,1003,village,عين الرحمة,ain alrhma
522,1938641768,1003,village,عين مذكر,ain mdhkr
523,1941836055,1003,village,كسرى العليا,ksra alalia
524,1941892766,1004,hamlet,الزريبة,alzriba
525,1942177875,1003,village,ورسيغن,oursighn
526,1951824285,1003,village,سيدي بحر,sidi bhr
527,1974940233,1003,village,برج بورقيبة,brj bourqiba
528,1974940235,1003,village,Kambout,Kambout
529,1974940236,1003,village,الكامور,alkamour
530,1975898150,1003,village,بني بركة,bni brka
531,1975898151,1004,hamlet,Beni Blel,Beni Blel
532,1975898152,1003,village,الزهرة,alzhra
533,1975898154,1004,hamlet,Khatma,Khatma
534,1975898155,1003,village,البحيرة,albhira
535,1975898156,1003,village,المظهار,almzhar
536,1975898157,1003,village,القصر الجديد,alqsr aljdid
537,1975898158,1003,village,Maztouria,Maztouria
538,1975898159,1004,hamlet,مغيت,mghit
539,1975898160,1004,hamlet,Mghit,Mghit
540,1975898161,1003,village,Tamelest,Tamelest
541,1975899618,1003,village,شنني,chnni
